38622,52032
46974,15754
52773,92517
68018,38641
38352,37146
12421,72427
50169,61489
80904,78027
33404,32080
14111,84323
64063,62255
78566,84138
28378,43619
46047,18231
21716,66838
12922,27229
16836,38957
32256,23419
65281,24566
60551,58507
72396,53109
73140,42344
54634,77456
24073,29564
65360,18231
50138,49723
63105,72578
76666,29355
30446,23662
31411,72602
05741,56736
30264,93109
53078,76180
03221,72644
61315,40476
21035,22952
22908,01718
58259,05753
61057,06830
84631,76939
62947,45712
56052,23924
54654,74350
67110,15685
65470,07201
40218,85284
65710,47989
78702,21226
92878,50231
43203,10969
60511,25524
30741,45211
02808,32258
37419,28383
53017,70517
72125,74437
08015,01339
54922,31561
16432,84121
83864,33503
27268,94044
99128,24416
84115,81228
10990,40061
93518,33336
46218,99219
21012,45652
87740,10514
21078,74459
26815,19065
24915,37699
70178,31011
02041,56515
21045,22403
57793,41180
59018,32713
31087,36536
06372,12121
14718,22807
83455,44633
51334,50166
15226,23233
58757,60195
61416,14820
65037,76201
01718,78067
17104,70580
98856,81076
31645,08605
49508,16651
58854,04103
39363,43147
84337,91791
08230,79831
56027,37690
46795,62871
34737,32119
33081,25671
48208,67431
80305,54813
95555,61761
15827,73089
81003,37110
24178,58495
04211,25048
66160,04981
67831,75980
48332,54911
64021,86411
04046,05732
74030,20741
20716,02556
28617,48659
32940,45121
19335,65230
37707,55419
85122,63653
98852,52341
49010,68812
32702,15722
29516,80127
06831,36512
58271,04549
90056,01366
80232,63145
29219,72540
14750,80246
06033,74135
62519,49935
38163,97089
02065,91607
07514,06442
34231,47525
49078,72365
35761,57763
02827,75833
63941,72332
61472,32809
33970,72219
21092,45211
60619,61831
49528,62817
56442,28699
83203,67118
33001,65606
07058,33976
15724,90410
02562,35447
68649,94229
67552,62970
56132,79501
84649,25943
64123,45352
62931,24541
13620,79261
63461,80256
47302,13317
44326,68834
98116,62962
60086,29556
93637,04083
25818,35457
01585,92831
50021,98231
80924,61025
37411,61951
46565,02882
84120,83865
20460,06726
07738,22118
77842,92619
53923,36262
34777,49022
46524,97840
38506,76855
13068,01083
90201,49721
18451,43067
49016,47924
77035,97311
67341,33462
90680,24026
25901,41092
85191,78944
77013,13436
30164,76624
98276,23119
41549,77007
68634,04037
39859,52410
35147,23107
47581,26206
93526,38167
74021,56679
87829,20604
94702,45332
32869,95237
92129,14032
22427,20453
12418,28164
08723,29911
62431,33549
20082,12059
50133,80722
30703,15510
67041,29666
22840,95595
74802,84401
56159,76890
41074,25259
70558,37620
38103,65284
75051,34691
26120,94061
50840,95798
30116,93740
85280,64680
13030,89433
81239,47234
68503,03849
72336,70719
76685,34987
91009,53572
79932,91006
39173,46809
36135,33135
98311,12190
67050,84530
24133,31769
29530,50332
24279,79958
61853,11941
38833,85233
06389,02026
32245,89144
93550,41149
29525,30029
68380,71046
44081,52755
03746,73015
25906,57233
16522,24270
28582,20391
60633,78594
70534,34234
30087,52247
29847,33483
84767,10026
48021,37824
68309,24816
95010,52362
36204,37872
37148,50616
66013,58736
78673,29733
64723,38504
34740,35254
62934,47339
81147,37618
22303,79730
76486,94945
29703,06081
73901,79602
97414,93670
77856,77859
31720,59638
01901,37153
47388,85655
50314,23288
44671,46885
28159,37201
45133,38055
56151,87107
14728,13061
92506,53824
97522,66212
70759,50028
64440,68926
53044,70469
82443,38468
79762,80926
95427,54932
29554,55067
61235,81646
88433,08830
33556,83637
08031,10974
21001,10514
33328,97403
45148,49107
08346,74331
54471,78759
05042,97055
23108,25186
64152,89164
30336,35006
33976,48886
74079,02116
80532,25024
41043,70786
69214,31314
13790,85214
20463,24816
61529,63349
73121,78659
07102,16553
07876,07703
01098,12956
18627,57421
24260,26215
62098,15522
40292,52660
63023,46352
63862,44142
88033,84059
32219,55968
58501,35062
63636,74855
36907,79018
18325,37178
34974,37818
26138,69339
86556,19715
20425,46914
40550,41425
33167,96105
06050,73344
51105,83206
52620,41603
48269,16326
80205,18655
84516,47322
48763,67023
61321,17723
16108,88567
97212,43946
28538,45353
38626,73527
74436,57752
35959,65720
14091,27866
17255,31738
36312,58642
79772,29659
01452,39535
29642,77402
13207,67859
96075,94510
51593,83286
88029,89112
33025,93150
70160,23670
99023,90213
40526,83530
58564,83012
32752,12534
04450,17976
44107,83438
58789,47427
96020,35674
28539,74963
28680,97735
95014,48168
13033,52237
67275,59117
05343,58552
28662,16509
66524,32346
37813,80744
33317,96020
71834,10524
88513,80861
74034,12228
49724,07847
28786,64628
05743,72219
93550,92168
94950,48455
96079,39079
94614,37320
77417,68026
28601,32547
67417,95830
31216,97639
61913,07748
25328,55415
23970,25840
73082,52243
10919,38666
49622,83842
31630,62056
61913,88340
70447,44401
31521,10519
74429,69142
82720,03468
40621,13641
17603,70344
80723,97346
44689,13635
13471,50227
62806,38756
70054,49337
32919,73901
74867,73463
34452,60941
12137,63041
88038,28814
30568,47031
11053,87311
66935,01747
40057,28146
78629,34145
26202,85041
80514,21667
93930,38025
12309,13648
45122,52213
93067,94506
55085,70446
15127,36032
89185,29154
89142,46759
22637,55412
56052,32681
94247,31716
63123,92067
59087,14706
13426,35013
14712,50050
95636,77461
41540,72383
72701,33193
87549,55612
98645,22243
78266,74884
94250,33876
71922,41135
59725,32507
68724,59828
55765,32169
48419,44054
